"Plant.ID","Treatment","Population","GR","R2"
"Tray01A_Mimiulus_E1_1","100%","A",13.8407152286125,0.985147491871778
"Tray01A_Mimiulus_E3_1","100%","C",13.65463118425,0.96749152771429
"Tray01B_Mimiulus_E4_1","100%","B",13.2797585204481,0.914611579525655
"Tray01B_Mimiulus_E2_1","100%","D",5.61609061692718,0.908649965641271
"Tray02B_Mimiulus_E4_1","100%","F",7.42265142628253,0.947860731454052
"Tray02B_Mimiulus_E2_1","100%","H",7.47438904870158,0.983098619011004
"Tray03A_Mimiulus_E1_1","100%","I",4.40316050480941,0.792437369004921
"Tray03A_Mimiulus_E3_1","100%","K",4.84656544384002,0.96385473139862
"Tray03B_Mimiulus_E4_1","100%","J",8.61490639811679,0.939915870604819
"Tray03B_Mimiulus_E2_1","100%","A",11.4871575744626,0.930502030018462
"Tray04A_Mimiulus_E1_1","100%","B",11.5076944622849,0.940743856044679
"Tray04A_Mimiulus_E3_1","100%","D",12.6427335606479,0.966180609175486
"Tray04B_Mimiulus_E4_1","100%","C",3.96651826018565,0.777512338725156
"Tray05A_Mimiulus_E1_1","100%","F",7.94095590958874,0.915245552096206
"Tray05A_Mimiulus_E3_1","100%","H",15.3053367212955,0.976120309537306
"Tray06A_Mimiulus_E1_1","100%","J",12.7125251587981,0.921171678882907
"Tray06A_Mimiulus_E3_1","100%","A",14.7111875035313,0.95352345102332
"Tray06B_Mimiulus_E4_1","100%","K",13.2094086997557,0.909281040909629
"Tray06B_Mimiulus_E2_1","100%","B",12.060953969982,0.886489534161673
"Tray07A_Mimiulus_E1_1","100%","C",8.98011415805455,0.959144735582512
"Tray07A_Mimiulus_E3_1","100%","E",4.2957012943023,0.768610103381642
"Tray08A_Mimiulus_E1_1","100%","G",3.05099497759064,0.762876637669448
"Tray08A_Mimiulus_E3_1","100%","I",9.90118054046622,0.822622570930386
"Tray08B_Mimiulus_E2_1","100%","J",9.50919990564261,0.723535218594584
"Tray09A_Mimiulus_E1_1","100%","K",6.43278139050441,0.766256092373488
"Tray09A_Mimiulus_E3_1","100%","B",15.176565821192,0.983049364662734
"Tray09B_Mimiulus_E4_1","100%","A",10.5222063167587,0.903564460998131
"Tray10A_Mimiulus_E1_1","100%","D",5.56293059015485,0.902738237873079
"Tray10A_Mimiulus_E3_1","100%","F",12.3487587722564,0.900908002966326
"Tray11A_Mimiulus_E1_1","100%","D",8.97738163391933,0.928989810976833
"Tray11A_Mimiulus_E3_1","100%","F",10.4982877531513,0.925460072039713
"Tray01A_Mimiulus_A3_0.2","20%","C",7.95100223112113,0.979704586157521
"Tray01A_Mimiulus_D2_0.8","80%","C",9.12151322627252,0.97887863125759
"Tray01A_Mimiulus_B2_0.4","40%","A",10.7062896431771,0.934147315131399
"Tray01A_Mimiulus_C1_0.6","60%","C",5.55187491274383,0.978843502813081
"Tray01A_Mimiulus_D4_0.8","80%","A",14.9470280854359,0.988226628114931
"Tray01A_Mimiulus_A1_0.2","20%","A",9.22057856987552,0.981526326913648
"Tray01A_Mimiulus_B4_0.4","40%","C",6.31193900810405,0.917372964061546
"Tray01A_Mimiulus_C3_0.6","60%","A",10.6426986914256,0.967637719717948
"Tray01B_Mimiulus_C2_0.6","60%","B",10.7054009866927,0.960679214992602
"Tray01B_Mimiulus_A2_0.2","20%","D",5.54615414510973,0.875612155158576
"Tray01B_Mimiulus_D1_0.8","80%","D",4.01675043898963,0.939032647049684
"Tray01B_Mimiulus_B1_0.4","40%","B",11.7803157282941,0.98652222504619
"Tray01B_Mimiulus_C4_0.6","60%","D",13.1851802529633,0.973321953726701
"Tray01B_Mimiulus_A4_0.2","20%","B",8.34264486244066,0.953393529435743
"Tray01B_Mimiulus_D3_0.8","80%","B",3.295425432257,0.894763051532375
"Tray01B_Mimiulus_B3_0.4","40%","D",1.78962494386499,0.809854463565877
"Tray02A_Mimiulus_D2_0.8","80%","G",3.9913596034084,0.770686635324369
"Tray02A_Mimiulus_D4_0.8","80%","E",3.84202361869255,0.874736090697601
"Tray02A_Mimiulus_A1_0.2","20%","E",6.64610362234562,0.927842327433726
"Tray02A_Mimiulus_B4_0.4","40%","G",2.93882230992768,0.77004499637591
"Tray02A_Mimiulus_C3_0.6","60%","E",7.1041016251891,0.885164006539268
"Tray02B_Mimiulus_C2_0.6","60%","F",7.75064665976245,0.856358860856046
"Tray02B_Mimiulus_A2_0.2","20%","H",8.66859493920524,0.976771027599148
"Tray02B_Mimiulus_D1_0.8","80%","H",5.94354078633291,0.877139881092598
"Tray02B_Mimiulus_B1_0.4","40%","F",5.27170377097058,0.931336740882262
"Tray02B_Mimiulus_C4_0.6","60%","H",14.2337857711829,0.956257757230432
"Tray02B_Mimiulus_A4_0.2","20%","F",7.8032922024683,0.933826001106957
"Tray02B_Mimiulus_B3_0.4","40%","H",6.05977894258973,0.958400066571607
"Tray03A_Mimiulus_A3_0.2","20%","K",8.34250447611349,0.973524753708356
"Tray03A_Mimiulus_D2_0.8","80%","K",11.3981045517693,0.897069453582104
"Tray03A_Mimiulus_B2_0.4","40%","I",7.21117628822765,0.951049277599347
"Tray03A_Mimiulus_C1_0.6","60%","K",7.76329917422871,0.932905218142253
"Tray03A_Mimiulus_D4_0.8","80%","I",6.06570056884468,0.832885123129623
"Tray03A_Mimiulus_A1_0.2","20%","I",8.98428067137869,0.913703720180402
"Tray03A_Mimiulus_B4_0.4","40%","K",10.3023166493927,0.979431793729832
"Tray03B_Mimiulus_C2_0.6","60%","J",10.3393013102509,0.944181713665927
"Tray03B_Mimiulus_A2_0.2","20%","A",10.2903326964754,0.991667965810904
"Tray03B_Mimiulus_D1_0.8","80%","A",8.28273026697505,0.866975459017441
